,-3,-2,-1,0,1,2,3,4,5
-10,1.9083574355905124,1.9083574355905124,1.8953212135538182,0.691444063537191,1.069545398922978,0.2820811776987346,1.88058283623364,1.9083485069618356,1.9083574327666923
-9,1.9083574355905124,1.9083574355905124,1.8953212135560749,0.6914389254932349,0.6237548775569914,0.4400279647259073,1.9055415368657869,1.908356542723727,1.9083574353081305
-8,1.9083574355905124,1.9083574355905124,1.8953212135786424,0.691387559233751,0.45418331254549765,1.3140396211654006,1.9080754555307287,1.9083573463037946,1.9083574355622743
-7,1.9083574355905124,1.9083574355905124,1.8953212138043163,0.6908753117422803,0.36970353325738947,1.824245836035872,1.9083292336767732,1.9083574266618404,1.9083574355876887
-6,1.9083574355905124,1.9083574355905124,1.8953212160610553,0.6858915040209035,0.30706876870346694,1.8995836564074515,1.908354615360055,1.9083574346976453,1.9083574355902302
-5,1.9083574355905124,1.9083574355905124,1.895321238628403,0.6546452353208085,0.858460744036298,1.9074762606078821,1.9083571535670758,1.9083574355012258,1.9083574355904842
-4,1.9083574355905124,1.9083574355905124,1.8953214642975762,0.7041875421802157,1.689453654680885,1.9082692799426089,1.9083574073881648,1.9083574355815838,1.9083574355905097
-3,1.9083574355905124,1.9083574355905124,1.895323720558907,0.7315116412746983,1.8838389422646526,1.9083486196440458,1.9083574327702777,1.9083574355896196,1.9083574355905122
