,-3,-2,-1,0,1,2,3,4,5
-10,1.9083574355905124,1.9083574349027455,1.6715005356953536,0.4392087021067118,0.259008403023241,0.13386809609181496,1.6552812861209536,1.9082650159539174,1.9083574063575928
-9,1.9083574355905124,1.9083574349027455,1.6715005357306822,0.43920379104922536,0.2741944565512167,0.12415674722144987,1.8796270170240468,1.9083481932248305,1.9083574326672204
-8,1.9083574355905124,1.9083574349027455,1.671500536083964,0.4391547198504102,0.23162222870533133,0.34043845654260674,1.9054450156396279,1.9083565113499241,1.9083574352981834
-7,1.9083574355905124,1.9083574349027455,1.671500539616785,0.4386678950112339,0.19953005663399526,1.2943622175615492,1.9080657938814087,1.9083573431664136,1.9083574355612793
-6,1.9083574355905124,1.9083574349027455,1.6715005749449872,0.4341440611426388,0.1805295252453987,1.82201833573258,1.9083282674164384,1.9083574263481018,1.9083574355875892
-5,1.9083574355905124,1.9083574349027455,1.6715009282264137,0.4047901330622106,0.18127485682282768,1.8993583392845586,1.9083545187330675,1.9083574346662715,1.9083574355902198
-4,1.9083574355905124,1.9083574349027455,1.671504460981336,0.3080994095033263,0.8469076190634443,1.907453703826985,1.9083571439043674,1.9083574354980883,1.9083574355904829
-3,1.9083574355905124,1.9083574349027455,1.6715397825968996,0.31198813455392577,1.698488184156859,1.9082670240145458,1.908357406421894,1.90835743558127,1.9083574355905095
