,-3,-2,-1,0,1,2,3,4,5
-10,1.9083574355905124,1.9083574349027455,1.6681291686632662,0.48922600904536945,0.4841742872065023,0.12299280004728416,1.879628054333298,1.9083482051200513,1.9083574326713566
-9,1.9083574355905124,1.9083574349027455,1.668129168699842,0.4892252500183861,0.2514068516232567,0.3391854201814205,1.905445046206331,1.908356512539448,1.9083574352985966
-8,1.9083574355905124,1.9083574349027455,1.6681291690656004,0.48921766233760505,0.21614489601458625,1.28902768203807,1.9080657961881797,1.9083573432853655,1.9083574355613209
-7,1.9083574355905124,1.9083574349027455,1.668129172723185,0.48914204388079946,0.1780484031467072,1.8209599967076346,1.908328267639598,1.9083574263599974,1.9083574355875932
-6,1.9083574355905124,1.9083574349027455,1.6681292092990279,0.4884111463118012,0.13429512805912525,1.8992434279666992,1.9083545187553081,1.908357434667461,1.9083574355902204
-5,1.9083574355905124,1.9083574349027455,1.6681295750568297,0.4831753264736873,0.768427531476741,1.9074421156299644,1.908357143906591,1.9083574354982074,1.9083574355904829
-4,1.9083574355905124,1.9083574349027455,1.6681332325724014,0.49036825313062843,1.6710809147636236,1.9082658642175065,1.9083574064221165,1.9083574355812822,1.9083574355905095
-3,1.9083574355905124,1.9083574349027455,1.66816980148491,0.5062047990899146,1.881764392597892,1.9083482780592564,1.9083574326736727,1.9083574355895894,1.9083574355905124
