,-3,-2,-1,0,1,2,3,4,5
-10,0.20310158346081875,0.16734332998205168,0.12486209847810206,0.10438041418226604,0.2309395115657634,0.26797717728761317,0.4987758102744729,0.6027587713630163,0.7235282940281348
-9,0.5336355231696708,0.16641928708646175,0.12005183326126138,0.11051440397717598,0.20002547853932287,0.35304860378753744,0.5950485436565365,0.6014231069552454,0.804609682387394
-8,1.1105976822709658,0.1551504042712744,0.111170610005314,0.10293483241967791,0.2604603791744197,0.3851987585851756,0.5947743078393156,0.6327679150724885,0.8586223236640904
-7,0.648410539449616,0.16352396405593403,0.1059964897954216,0.12520620440037558,0.2472410443164615,0.5037624172051581,0.6010779660917309,0.8449307463125486,0.867307042459994
-6,0.21815096100762027,0.16397832929218775,0.09063066965847529,0.15843346756067717,0.27075952764144684,0.5743657443723764,0.6312499653026926,0.8504309165718491,0.8673802759512483
-5,0.4197056178025133,0.14289685430889734,0.08723519498098817,0.1558839152181592,0.38796363788098653,0.5971182669736487,0.8229914712782292,0.866151423158934,0.8735094437480312
-4,1.3172343054609283,0.15177821869987873,0.08655467243202838,0.21267705083305502,0.4968270600128581,0.6911047988522945,0.861796023185709,0.8713287121941653,1.0979843870297752
-3,0.5852895298170008,0.12366037417750461,0.08164267269354182,0.2747036357109824,0.5730077359069817,0.7710279811670431,0.8688964249044199,0.9800007150360652,1.2832712002250388
